domain,ipv4,ipv6,cname,status,checked_at
rda.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:01+02:00
rea.org.zm,162.241.224.179,,,OK,2025-12-13T13:28:01+02:00
rsu.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:04+02:00
rtsa.org.zm,41.175.8.225,,,OK,2025-12-13T13:28:04+02:00
seczambia.org.zm,50.6.3.226,,,OK,2025-12-13T13:28:05+02:00
sh.gov.zm,165.56.3.214,,,OK,2025-12-13T13:28:06+02:00
sou.gov.zm,41.215.183.62,,,OK,2025-12-13T13:28:06+02:00
statehouse.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:09+02:00
supremecourt.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:10+02:00
swsc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:11+02:00
szi.gov.zm,41.215.183.55,,,OK,2025-12-13T13:28:12+02:00
tazama.co.zm,102.23.121.175,,,OK,2025-12-13T13:28:13+02:00
tbz.org.zm,,,,NXDOMAIN,2025-12-13T13:28:14+02:00
tcz.ac.zm,154.120.217.132,,,OK,2025-12-13T13:28:14+02:00
teveta.org.zm,,,,NXDOMAIN,2025-12-13T13:28:15+02:00
times.co.zm,165.56.48.29,,,OK,2025-12-13T13:28:15+02:00
unza.zm,41.63.1.33,,,OK,2025-12-13T13:28:16+02:00
warma.org.zm,165.56.48.28,,,OK,2025-12-13T13:28:17+02:00
wes.gov.zm,154.120.217.145,,,OK,2025-12-13T13:28:17+02:00
workers.com.zm,196.46.215.165,,,OK,2025-12-13T13:28:18+02:00
wwsc.co.zm,,,,NXDOMAIN,2025-12-13T13:28:19+02:00
www.acc.gov.zm,102.23.122.251,,,OK,2025-12-13T13:28:20+02:00
www.ago.gov.zm,41.175.8.85,,,OK,2025-12-13T13:28:21+02:00
www.agriculture.gov.zm,41.215.183.59,,,OK,2025-12-13T13:28:21+02:00
www.boz.zm,4.222.18.41,,,OK,2025-12-13T13:28:22+02:00
www.brra.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:23+02:00
www.caa.co.zm,41.72.115.238,,,OK,2025-12-13T13:28:23+02:00
www.cabinet.gov.zm,41.215.183.58,,,OK,2025-12-13T13:28:24+02:00
www.cbu.ac.zm,192.124.249.110,,,OK,2025-12-13T13:28:24+02:00
www.ccpc.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:25+02:00
www.ceec.org.zm,172.67.154.246,2606:4700:3031::6815:638,,OK,2025-12-13T13:28:26+02:00
www.cen.gov.zm,41.215.183.57,,,OK,2025-12-13T13:28:26+02:00
www.chalimbana.ac.zm,,,,NXDOMAIN,2025-12-13T13:28:27+02:00
www.cop.gov.zm,,,,NXDOMAIN,2025-12-13T13:28:28+02:00
www.daily-mail.co.zm,102.23.120.144,,,OK,2025-12-13T13:28:29+02:00
www.dbz.co.zm,41.60.230.83,,,OK,2025-12-13T13:28:30+02:00
www.eas.gov.zm,41.215.183.57,,,OK,2025-12-13T13:28:30+02:00
www.eiz.org.zm,102.23.122.251,,,OK,2025-12-13T13:28:31+02:00
www.elections.org.zm,104.21.51.93,2606:4700:3035::6815:335d,,OK,2025-12-13T13:28:31+02:00
